64
1,1500
2,1500
3,1500
4,1500
5,1500
6,1500
7,1500
8,1500
9,1500
10,1500
11,1500
12,1500
13,1500
14,1500
15,1500
16,1500
17,1500
18,1500
19,1500
20,1500
21,1500
22,1500
23,1500
24,1500
25,1500
26,1500
27,1500
28,1500
29,1500
30,1500
31,1500
32,1500
33,1500
34,1500
35,1500
36,1500
37,1500
38,1500
39,1500
40,1500
41,1500
42,1500
43,1500
44,1500
45,1500
46,1500
47,1500
48,1500
49,1500
50,1500
51,1500
52,1500
53,1500
54,1500
55,1500
56,1500
57,1500
58,1500
59,1500
60,1500
61,1500
62,1500
63,1500
64,1500
